WASTE_ID,SOURCE,ORG_ID,WWTP_NAME,COUNTRY,CNTRY_ISO,LATITUDE,LONGITUDE,QUAL_LOC,LAT_OUT,LON_OUT,STATUS,POP_SERVED,QUAL_POP,WASTE_DIS,QUAL_WASTE,LEVEL,QUAL_LEVEL,DF,HYRIV_ID,RIVER_DIS,COAST_10KM,COAST_50KM,DESIGN_CAP,QUAL_CAP
56838,12,3988,,Ukraine,UKR,49.985,36.069,1,49.977,36.056,Not Reported,1070,4,89.004,4,Secondary,2,3222.897,20374450,3.319,0,0,,3
56839,12,3989,,Ukraine,UKR,49.988,32.981,1,49.902,32.985,Not Reported,58926,4,4903.534,4,Secondary,2,705.745,20376423,39.997,0,0,,3
56840,12,3990,,Ukraine,UKR,49.99,36.068,1,49.977,36.056,Not Reported,5222,4,434.579,4,Secondary,2,660.861,20374450,3.319,0,0,,3
56841,12,3991,,Ukraine,UKR,49.991,29.873,1,49.998,29.869,Not Reported,9011,4,749.838,4,Secondary,2,109.772,20373750,0.944,0,0,,3
56842,12,3992,,Ukraine,UKR,50.043,28.136,1,50.127,28.19,Not Reported,16790,4,1397.151,4,Secondary,2,233.024,20370702,3.752,0,0,,3
56843,12,3993,,Ukraine,UKR,50.072,36.125,1,50.048,36.152,Not Reported,116486,4,9693.482,4,Secondary,2,23.354,20372842,2.508,0,0,,3
56844,12,3994,,Ukraine,UKR,50.079,25.15,1,50.077,25.148,Not Reported,15365,4,1278.617,4,Secondary,2,42.152,20371743,0.609,0,0,,3
56845,12,3995,,Ukraine,UKR,50.082,25.127,1,50.169,25.081,Not Reported,15029,4,1250.628,4,Secondary,2,68.911,20369909,0.983,0,0,,3
56847,12,3997,,Ukraine,UKR,50.094,29.968,1,50.115,29.948,Not Reported,54458,4,4531.715,4,Secondary,2,36.004,20370928,1.836,0,0,,3
56848,12,3998,,Ukraine,UKR,50.13,30.714,1,50.14,30.769,Not Reported,15468,4,1287.179,4,Secondary,2,101746.244,20370209,1515.791,0,0,,3
56849,12,3999,,Ukraine,UKR,50.132,30.701,1,50.14,30.769,Not Reported,23622,4,1965.698,4,Secondary,2,66625.856,20370209,1515.791,0,0,,3
56850,12,4000,,Ukraine,UKR,50.132,36.087,1,50.056,36.152,Not Reported,17179,4,1429.532,4,Secondary,2,134.45,20372317,2.208,0,0,,3
56852,12,4002,,Ukraine,UKR,50.185,28.726,1,50.19,28.698,Not Reported,78678,4,6547.217,4,Secondary,2,76.814,20369026,5.745,0,0,,3
56853,12,4003,,Ukraine,UKR,50.199,37.116,1,50.294,37.127,Not Reported,2433,4,202.468,4,Secondary,2,92.321,20367455,0.214,0,0,,3
56854,12,4004,,Ukraine,UKR,50.204,37.112,1,50.298,37.085,Not Reported,3657,4,304.311,4,Secondary,2,1146.617,20366391,4.035,0,0,,3
56855,12,4005,,Ukraine,UKR,50.212,32.542,1,50.202,32.598,Not Reported,19110,4,1590.268,4,Secondary,2,834.103,20369921,15.334,0,0,,3
56856,12,4006,,Ukraine,UKR,50.238,30.521,1,50.281,30.531,Not Reported,97668,4,8127.54,4,Secondary,2,6.124,20367639,0.482,0,1,,3
56857,12,4007,,Ukraine,UKR,50.243,30.382,1,50.165,30.444,Not Reported,55902,4,4651.903,4,Secondary,2,5.16,20370101,0.224,0,1,,3
56858,12,4008,,Ukraine,UKR,50.251,24.464,1,50.24,24.365,Not Reported,15782,4,1313.295,4,Secondary,2,977.041,20367932,14.836,0,0,,3
56861,12,4011,,Ukraine,UKR,50.272,30.44,1,50.281,30.531,Not Reported,83182,4,6922.008,4,Secondary,2,7.016,20367639,0.482,0,1,,3
56862,12,4012,,Ukraine,UKR,50.274,28.627,1,50.244,28.66,Not Reported,214244,4,17828.471,4,Secondary,2,105.125,20368323,21.486,0,0,,3
56863,12,4013,,Ukraine,UKR,50.288,34.862,1,50.248,34.806,Not Reported,57905,4,4818.618,4,Secondary,2,367.337,20368067,20.431,0,0,,3
56864,12,4014,,Ukraine,UKR,50.292,36.927,1,50.29,36.856,Not Reported,25787,4,2145.896,4,Secondary,2,1002.62,20367656,24.877,0,0,,3
56867,12,4017,,Ukraine,UKR,50.356,33.739,1,50.36,33.752,Not Reported,7676,4,638.797,4,Secondary,2,353.879,20365065,2.609,0,0,,3
56869,12,4019,,Ukraine,UKR,50.361,32.004,1,50.331,32.052,Not Reported,4443,4,369.705,4,Secondary,2,85.132,20366283,0.36,0,0,,3
56870,12,4020,,Ukraine,UKR,50.364,31.999,1,50.331,32.052,Not Reported,1661,4,138.233,4,Secondary,2,226.011,20366283,0.36,0,0,,3
